experiment_id,guardian_id,guardian_name,experiment_type,status,hypothesis,primary_metric,primary_value,secondary_metric,secondary_value,minimum_signal,minimum_quiz_completions,quiz_completions,asset_id,target_url,next_action,safety_boundary
vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,HOLD,Luna 使用場景可在結果後路線承接夜間整理需求。,luna_pack_clicks,0,luna_clicks,0,1,10,0,vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book,vivian,薇薇安,affiliate_book,HOLD,延伸書卷可承接願意深讀的使用者，但不應取代免費路線。,affiliate_book_clicks,0,resources_clicks,0,2,10,0,vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save,claire,克萊兒,identity_save,HOLD,免費收藏物能提高守護者認同、保存與回訪。,free_keepsake_downloads,0,keepsake_clicks,0,2,10,0,claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead,claire,克萊兒,owned_lead,HOLD,重複補給或 Contact 需求可轉成自有 Email 素材。,supply_lead_requests,0,contact_requests,0,2,10,0,claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,HOLD,Luna 使用場景可在結果後路線承接夜間整理需求。,luna_pack_clicks,0,luna_clicks,0,1,10,0,claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-affiliate_book,claire,克萊兒,affiliate_book,HOLD,延伸書卷可承接願意深讀的使用者，但不應取代免費路線。,affiliate_book_clicks,0,resources_clicks,0,2,10,0,claire-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-claire,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-identity_save,dora,朵拉,identity_save,HOLD,免費收藏物能提高守護者認同、保存與回訪。,free_keepsake_downloads,0,keepsake_clicks,0,2,10,0,dora-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-dora,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-owned_lead,dora,朵拉,owned_lead,HOLD,重複補給或 Contact 需求可轉成自有 Email 素材。,supply_lead_requests,0,contact_requests,0,2,10,0,dora-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-luna_soft_offer,dora,朵拉,luna_soft_offer,HOLD,Luna 使用場景可在結果後路線承接夜間整理需求。,luna_pack_clicks,0,luna_clicks,0,1,10,0,dora-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-dora,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-affiliate_book,dora,朵拉,affiliate_book,HOLD,延伸書卷可承接願意深讀的使用者，但不應取代免費路線。,affiliate_book_clicks,0,resources_clicks,0,2,10,0,dora-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-dora,先發布與回填 KPI；未達門檻前不製作或加強此商品假設。,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
