queue_id,experiment_id,guardian_id,guardian_name,experiment_type,status,step,deliverable,asset_id,target_url,owner,acceptance_check,writeback,safety_boundary
iris-luna_soft_offer-measure,iris-luna_soft_offer,iris,艾莉絲,luna_soft_offer,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",iris-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-iris,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-affiliate_book-brief,iris-affiliate_book,iris,艾莉絲,affiliate_book,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",iris-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-iris,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-affiliate_book-asset,iris-affiliate_book,iris,艾莉絲,affiliate_book,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,iris-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-iris,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-affiliate_book-qa,iris-affiliate_book,iris,艾莉絲,affiliate_book,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",iris-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-iris,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-affiliate_book-measure,iris-affiliate_book,iris,艾莉絲,affiliate_book,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",iris-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-iris,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-identity_save-brief,noah-identity_save,noah,諾雅,identity_save,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",noah-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-noah,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-identity_save-asset,noah-identity_save,noah,諾雅,identity_save,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,noah-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-noah,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-identity_save-qa,noah-identity_save,noah,諾雅,identity_save,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",noah-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-noah,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-identity_save-measure,noah-identity_save,noah,諾雅,identity_save,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",noah-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-noah,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-owned_lead-brief,noah-owned_lead,noah,諾雅,owned_lead,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",noah-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-owned_lead-asset,noah-owned_lead,noah,諾雅,owned_lead,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,noah-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-owned_lead-qa,noah-owned_lead,noah,諾雅,owned_lead,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",noah-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-owned_lead-measure,noah-owned_lead,noah,諾雅,owned_lead,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",noah-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-luna_soft_offer-brief,noah-luna_soft_offer,noah,諾雅,luna_soft_offer,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",noah-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-noah,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-luna_soft_offer-asset,noah-luna_soft_offer,noah,諾雅,luna_soft_offer,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,noah-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-noah,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-luna_soft_offer-qa,noah-luna_soft_offer,noah,諾雅,luna_soft_offer,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",noah-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-noah,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-luna_soft_offer-measure,noah-luna_soft_offer,noah,諾雅,luna_soft_offer,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",noah-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-noah,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-affiliate_book-brief,noah-affiliate_book,noah,諾雅,affiliate_book,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",noah-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-noah,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-affiliate_book-asset,noah-affiliate_book,noah,諾雅,affiliate_book,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,noah-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-noah,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-affiliate_book-qa,noah-affiliate_book,noah,諾雅,affiliate_book,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",noah-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-noah,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
noah-affiliate_book-measure,noah-affiliate_book,noah,諾雅,affiliate_book,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",noah-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-noah,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-identity_save-brief,vivian-identity_save,vivian,薇薇安,identity_save,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",vivian-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-vivian,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-identity_save-asset,vivian-identity_save,vivian,薇薇安,identity_save,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,vivian-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-vivian,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-identity_save-qa,vivian-identity_save,vivian,薇薇安,identity_save,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",vivian-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-vivian,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-identity_save-measure,vivian-identity_save,vivian,薇薇安,identity_save,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",vivian-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-vivian,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-owned_lead-brief,vivian-owned_lead,vivian,薇薇安,owned_lead,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",vivian-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-owned_lead-asset,vivian-owned_lead,vivian,薇薇安,owned_lead,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,vivian-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-owned_lead-qa,vivian-owned_lead,vivian,薇薇安,owned_lead,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",vivian-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-owned_lead-measure,vivian-owned_lead,vivian,薇薇安,owned_lead,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",vivian-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-luna_soft_offer-brief,vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-luna_soft_offer-asset,vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-luna_soft_offer-qa,vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-luna_soft_offer-measure,vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book-brief,vivian-affiliate_book,vivian,薇薇安,affiliate_book,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book-asset,vivian-affiliate_book,vivian,薇薇安,affiliate_book,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book-qa,vivian-affiliate_book,vivian,薇薇安,affiliate_book,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book-measure,vivian-affiliate_book,vivian,薇薇安,affiliate_book,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save-brief,claire-identity_save,claire,克萊兒,identity_save,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save-asset,claire-identity_save,claire,克萊兒,identity_save,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save-qa,claire-identity_save,claire,克萊兒,identity_save,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save-measure,claire-identity_save,claire,克萊兒,identity_save,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead-brief,claire-owned_lead,claire,克萊兒,owned_lead,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead-asset,claire-owned_lead,claire,克萊兒,owned_lead,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead-qa,claire-owned_lead,claire,克萊兒,owned_lead,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead-measure,claire-owned_lead,claire,克萊兒,owned_lead,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer-brief,claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer-asset,claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer-qa,claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer-measure,claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-affiliate_book-brief,claire-affiliate_book,claire,克萊兒,affiliate_book,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",claire-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-claire,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-affiliate_book-asset,claire-affiliate_book,claire,克萊兒,affiliate_book,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,claire-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-claire,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-affiliate_book-qa,claire-affiliate_book,claire,克萊兒,affiliate_book,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",claire-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-claire,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
